message
"{'loss': 0.1546, 'learning_rate': 4.884461872417898e-05, 'epoch': 0.03}"
"{'loss': 0.1447, 'learning_rate': 4.8838783465210184e-05, 'epoch': 0.03}"
"{'loss': 0.1503, 'learning_rate': 4.88329482062414e-05, 'epoch': 0.03}"
"{'loss': 0.1479, 'learning_rate': 4.88271129472726e-05, 'epoch': 0.03}"
"{'loss': 0.122, 'learning_rate': 4.882127768830381e-05, 'epoch': 0.03}"
"{'loss': 0.1391, 'learning_rate': 4.8815442429335016e-05, 'epoch': 0.03}"
"{'loss': 0.1026, 'learning_rate': 4.8809607170366224e-05, 'epoch': 0.03}"
"{'loss': 0.1512, 'learning_rate': 4.8803771911397425e-05, 'epoch': 0.03}"
"{'loss': 0.144, 'learning_rate': 4.879793665242864e-05, 'epoch': 0.03}"
"{'loss': 0.1937, 'learning_rate': 4.879210139345984e-05, 'epoch': 0.03}"
"{'loss': 0.1536, 'learning_rate': 4.878626613449105e-05, 'epoch': 0.03}"
"{'loss': 0.1207, 'learning_rate': 4.878043087552226e-05, 'epoch': 0.03}"
"{'loss': 0.2035, 'learning_rate': 4.8774595616553465e-05, 'epoch': 0.03}"
"{'loss': 0.1483, 'learning_rate': 4.876876035758467e-05, 'epoch': 0.03}"
"{'loss': 0.1503, 'learning_rate': 4.876292509861588e-05, 'epoch': 0.03}"
"{'loss': 0.1456, 'learning_rate': 4.875708983964709e-05, 'epoch': 0.03}"
"{'loss': 0.1373, 'learning_rate': 4.875125458067829e-05, 'epoch': 0.03}"
"{'loss': 0.1266, 'learning_rate': 4.8745419321709505e-05, 'epoch': 0.03}"
"{'loss': 0.1252, 'learning_rate': 4.8739584062740706e-05, 'epoch': 0.03}"
"{'loss': 0.1308, 'learning_rate': 4.8733748803771914e-05, 'epoch': 0.03}"
"{'loss': 0.1362, 'learning_rate': 4.872791354480312e-05, 'epoch': 0.03}"
"{'loss': 0.1451, 'learning_rate': 4.872207828583433e-05, 'epoch': 0.03}"
"{'loss': 0.1393, 'learning_rate': 4.871624302686553e-05, 'epoch': 0.03}"
"{'loss': 0.1421, 'learning_rate': 4.8710407767896746e-05, 'epoch': 0.03}"
"{'loss': 0.1103, 'learning_rate': 4.870457250892795e-05, 'epoch': 0.03}"
"{'loss': 0.1522, 'learning_rate': 4.8698737249959155e-05, 'epoch': 0.03}"
"{'loss': 0.1246, 'learning_rate': 4.869290199099036e-05, 'epoch': 0.03}"
"{'loss': 0.1312, 'learning_rate': 4.868706673202157e-05, 'epoch': 0.03}"
"{'loss': 0.1329, 'learning_rate': 4.868123147305277e-05, 'epoch': 0.03}"
"{'loss': 0.1315, 'learning_rate': 4.8675396214083987e-05, 'epoch': 0.03}"
"{'loss': 0.108, 'learning_rate': 4.866956095511519e-05, 'epoch': 0.03}"
"{'loss': 0.1675, 'learning_rate': 4.8663725696146396e-05, 'epoch': 0.03}"
"{'loss': 0.1357, 'learning_rate': 4.8657890437177604e-05, 'epoch': 0.03}"
"{'loss': 0.1209, 'learning_rate': 4.865205517820881e-05, 'epoch': 0.03}"
"{'loss': 0.1481, 'learning_rate': 4.864621991924001e-05, 'epoch': 0.03}"
"{'loss': 0.1612, 'learning_rate': 4.864038466027123e-05, 'epoch': 0.03}"
"{'loss': 0.1277, 'learning_rate': 4.863454940130243e-05, 'epoch': 0.03}"
"{'loss': 0.1374, 'learning_rate': 4.862871414233364e-05, 'epoch': 0.03}"
"{'loss': 0.1469, 'learning_rate': 4.8622878883364845e-05, 'epoch': 0.03}"
"{'loss': 0.1189, 'learning_rate': 4.861704362439605e-05, 'epoch': 0.03}"
"{'loss': 0.1247, 'learning_rate': 4.861120836542726e-05, 'epoch': 0.03}"
"{'loss': 0.1742, 'learning_rate': 4.860537310645847e-05, 'epoch': 0.03}"
"{'loss': 0.1501, 'learning_rate': 4.8599537847489677e-05, 'epoch': 0.03}"
"{'loss': 0.1962, 'learning_rate': 4.859370258852088e-05, 'epoch': 0.03}"
"{'loss': 0.1456, 'learning_rate': 4.858786732955209e-05, 'epoch': 0.03}"
"{'loss': 0.1646, 'learning_rate': 4.8582032070583294e-05, 'epoch': 0.03}"
"{'loss': 0.0956, 'learning_rate': 4.85761968116145e-05, 'epoch': 0.03}"
"{'loss': 0.1112, 'learning_rate': 4.857036155264571e-05, 'epoch': 0.03}"
"{'loss': 0.113, 'learning_rate': 4.856452629367692e-05, 'epoch': 0.03}"
